numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20210319120000;102660;140;1;40;6.800000;280.950000;274.750000;65;19700;0;mq;mq;mq;mq;mq;mq;mq;mq;101770;mq;mq;-40;mq;mq;mq;mq;274.250000;mq;mq;10.500000;11.800000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;-0.100000;0.600000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20210319120000;102630;120;1;40;8.500000;281.150000;272.150000;53;12980;0;mq;mq;mq;1;1250;mq;mq;mq;102050;mq;mq;70;mq;mq;mq;mq;273.850000;mq;mq;11.600000;12.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.400000;mq;mq;mq;mq;1;mq;1320;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07020;20210319120000;102740;170;1;60;10.700000;281.250000;277.450000;77;12000;1;0;mq;50;4;800;31;20;10;102630;mq;mq;-280;mq;mq;mq;mq;mq;mq;mq;13.400000;14.900000;-10;mq;mq;mq;mq;-0.100000;-0.100000;0.400000;0.400000;0.800000;mq;mq;mq;mq;4;8;800;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20210319120000;102600;120;1;50;7.800000;280.850000;274.050000;62;19170;0;mq;mq;mq;1;800;mq;mq;mq;101770;mq;mq;-300;mq;mq;mq;mq;279.350000;mq;mq;12.700000;13.000000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;0.600000;2.200000;mq;mq;mq;mq;1;mq;900;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07037;20210319120000;102540;110;3;30;8.900000;281.050000;272.350000;54;26450;0;mq;mq;mq;1;1250;mq;mq;mq;100670;mq;mq;-180;mq;mq;mq;mq;276.350000;mq;mq;12.500000;12.500000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.200000;1.000000;mq;mq;mq;mq;1;mq;1050;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07072;20210319120000;102280;140;1;40;7.800000;279.950000;271.250000;54;18760;0;mq;mq;90;6;1250;mq;mq;mq;101110;mq;mq;-240;mq;mq;mq;mq;274.950000;mq;mq;11.600000;12.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;2;mq;1230;6;mq;1440;7;mq;1800;mq;mq;mq;
07110;20210319120000;102620;110;1;40;9.100000;283.150000;279.450000;78;49460;0;mq;mq;100;8;800;mq;mq;mq;101420;mq;mq;-570;mq;mq;mq;mq;280.450000;mq;mq;15.400000;15.400000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;5;mq;660;8;mq;870;mq;mq;mq;mq;mq;mq;
07117;20210319120000;102600;100;1;50;11.500000;282.050000;280.050000;87;12000;2;2;mq;90;7;800;34;22;mq;101890;mq;mq;-580;mq;mq;mq;mq;mq;mq;mq;16.300000;17.700000;-10;1;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;3;6;900;4;4;2500;mq;mq;mq;mq;mq;mq;
07130;20210319120000;102390;90;1;20;8.600000;284.350000;274.850000;52;18150;0;mq;mq;mq;2;1250;mq;mq;mq;101940;mq;mq;-560;mq;mq;mq;mq;280.350000;mq;mq;12.600000;16.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.400000;0.400000;mq;mq;mq;mq;2;mq;1200;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20210319120000;102420;160;1;20;7.800000;280.350000;273.950000;64;19980;0;mq;mq;mq;1;800;mq;mq;mq;100630;mq;mq;-360;mq;mq;mq;mq;279.650000;mq;mq;11.800000;12.900000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;1.200000;1.200000;mq;mq;mq;mq;1;mq;900;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07149;20210319120000;102320;130;1;30;8.500000;280.750000;273.250000;59;15980;0;0;0;75;6;1250;mq;mq;mq;101210;mq;mq;-300;mq;mq;mq;mq;mq;mq;mq;12.600000;14.500000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.200000;2.000000;mq;mq;mq;mq;5;mq;1170;6;mq;1440;mq;mq;mq;mq;mq;mq;
07168;20210319120000;102140;150;1;20;6.400000;279.450000;273.950000;68;19890;0;mq;mq;100;7;800;mq;mq;mq;100680;mq;mq;-390;mq;mq;mq;mq;275.750000;mq;mq;10.200000;10.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;2.200000;4.200000;mq;mq;mq;mq;6;mq;810;7;mq;1080;7;mq;1290;mq;8;mq;
